Position_x,Position_y,Orientation,Note
-225,45,1,"New RF coil, LIT, software"
-200,5,-1,12/2014
-75,45,1,Cleaned optics
-50,5,-1,4/2016
75,55,1,"Cleaned optics, isolation quad"
100,35,1,"Cleaned optics, q0"
115,5,-1,2/2016
285,5,-1,3/2016
