Replicate,File Name,Acquired Time,Group,SampleGroup,Replicates,Run Order,Group Order
QC01,QC01.raw,1/22/2021 1:15:43 PM,System Suitability,System Suitability,1,1,1
QC02,QC02.raw,1/22/2021 2:18:06 PM,System Suitability,System Suitability,2,2,2
QC03,QC03.raw,1/22/2021 3:20:35 PM,System Suitability,System Suitability,3,3,3
QC04,QC04.raw,1/22/2021 4:23:16 PM,System Suitability,System Suitability,4,4,4
QC05,QC05.raw,1/23/2021 11:15:10 AM,System Suitability,System Suitability,5,5,5
QC06,QC06.raw,1/24/2021 1:41:47 AM,System Suitability,System Suitability,6,6,6
QC07,QC07.raw,1/24/2021 2:45:11 AM,System Suitability,System Suitability,7,7,7
QC08,QC08.raw,1/24/2021 3:48:50 AM,System Suitability,System Suitability,8,8,8
QC09,QC09.raw,1/24/2021 7:06:15 AM,System Suitability,System Suitability,9,9,9
QC10,QC10.raw,1/24/2021 10:23:51 AM,System Suitability,System Suitability,10,10,10
QC11,QC11.raw,1/24/2021 3:55:59 PM,System Suitability,System Suitability,11,11,11
QC12,QC12.raw,1/25/2021 10:54:07 AM,System Suitability,System Suitability,12,12,12
QC13,QC13.raw,1/26/2021 5:53:31 AM,System Suitability,System Suitability,13,13,13
QC14,QC14.raw,1/27/2021 12:53:38 AM,System Suitability,System Suitability,14,14,14
