Replicate,File Name,Acquired Time,Group,SampleGroup,ForFigure
86,IQC86.raw,11/5/2021 2:51:47 AM,Batch3,Sample,False
87,IQC87.raw,11/5/2021 5:07:22 AM,Batch3,Sample,False
88,IQC88.raw,11/5/2021 10:08:15 AM,Batch3,Sample,False
89,IQC89.raw,11/5/2021 12:23:47 PM,Batch3,Sample,False
90,IQC90.raw,11/5/2021 2:39:17 PM,Batch3,Sample,False
91,IQC91.raw,11/5/2021 4:55:10 PM,Batch3,Sample,False
92,IQC92.raw,11/5/2021 7:10:49 PM,Batch3,Sample,False
93,IQC93.raw,11/5/2021 9:26:15 PM,Batch3,Sample,False
94,IQC94.raw,11/5/2021 11:42:05 PM,Batch3,Sample,False
95,IQC95.raw,11/6/2021 3:02:49 AM,Batch3,Sample,True
96,IQC96.raw,11/6/2021 5:18:44 AM,Batch3,Sample,False
97,IQC97.raw,11/6/2021 7:35:23 AM,Batch3,Sample,True
98,IQC98.raw,11/6/2021 10:30:55 AM,Batch3,Sample,False
99,IQC99.raw,11/6/2021 1:50:53 PM,Batch3,Sample,True
100,IQC100.raw,11/6/2021 4:45:34 PM,Batch3,Sample,False
101,IQC101.raw,11/6/2021 8:17:50 PM,Batch3,Sample,True
102,IQC102.raw,11/6/2021 11:08:43 PM,Batch3,Sample,False
103,IQC103.raw,11/7/2021 1:20:58 AM,Batch3,Sample,True
104,IQC104.raw,11/7/2021 1:39:45 AM,Batch3,Sample,False
105,IQC105.raw,11/7/2021 3:54:38 AM,Batch3,Sample,False
106,IQC106.raw,11/7/2021 6:13:28 AM,Batch3,Sample,False
107,IQC107.raw,11/7/2021 9:33:03 AM,Batch3,Sample,False
108,IQC108.raw,12/1/2021 4:32:28 PM,Batch4,Sample,True
109,IQC109.raw,12/1/2021 6:52:47 PM,Batch4,Sample,False
110,IQC110.raw,12/1/2021 9:08:14 PM,Batch4,Sample,True
111,IQC111.raw,12/1/2021 11:25:38 PM,Batch4,Sample,False
112,IQC112.raw,12/2/2021 1:43:39 AM,Batch4,Sample,True
113,IQC113.raw,12/2/2021 4:02:08 AM,Batch4,Sample,False
114,IQC114.raw,12/2/2021 6:20:45 AM,Batch4,Sample,True
115,IQC115.raw,12/2/2021 8:39:46 AM,Batch4,Sample,False
116,IQC116.raw,12/2/2021 12:07:03 PM,Batch4,Sample,True
117,IQC117.raw,12/2/2021 2:27:07 PM,Batch4,Sample,False
118,IQC118.raw,12/2/2021 4:47:00 PM,Batch4,Sample,True
119,IQC119.raw,12/2/2021 7:06:53 PM,Batch4,Sample,False
120,IQC120.raw,12/2/2021 9:26:45 PM,Batch4,Sample,True
121,IQC121.raw,12/2/2021 11:46:54 PM,Batch4,Sample,False
122,IQC122.raw,12/3/2021 2:07:05 AM,Batch4,Sample,True
123,IQC123.raw,12/3/2021 4:27:16 AM,Batch4,Sample,False
124,IQC124.raw,12/3/2021 7:57:03 AM,Batch4,Sample,False
125,IQC125.raw,12/3/2021 10:17:27 AM,Batch4,Sample,False
126,IQC126.raw,12/3/2021 12:37:49 PM,Batch4,Sample,False
127,IQC127.raw,12/3/2021 2:58:10 PM,Batch4,Sample,False
128,IQC128.raw,12/3/2021 5:18:19 PM,Batch4,Sample,False
129,IQC129.raw,12/3/2021 7:38:15 PM,Batch4,Sample,False
130,IQC130.raw,12/3/2021 11:06:48 PM,Batch4,Sample,False
131,IQC131.raw,12/4/2021 1:26:29 AM,Batch4,Sample,False
132,IQC132.raw,12/4/2021 3:46:13 AM,Batch4,Sample,False
