Replicate,File Name,Acquired Time,Group,SampleGroup,Replicates,Run Order,Group Order
SysSuit01,SysSuit01.raw,11/20/2021 7:52:57 PM,System Suitability,System Suitability,1,1,1
SysSuit02,SysSuit02.raw,11/21/2021 11:48:20 PM,System Suitability,System Suitability,2,2,2
SysSuit03,SysSuit03.raw,11/22/2021 1:56:28 PM,System Suitability,System Suitability,3,3,3
SysSuit04,SysSuit04.raw,11/22/2021 3:19:47 PM,System Suitability,System Suitability,4,4,4
SysSuit05,SysSuit05.raw,11/22/2021 4:44:33 PM,System Suitability,System Suitability,5,5,5
SysSuit06,SysSuit06.raw,11/23/2021 4:32:32 PM,System Suitability,System Suitability,6,6,6
